_step,train/loss,train/lr,train/grad_norm,train/tokens_seen,train/peak_memory_gb
0,643.8642639160156,1.4999999999999999e-05,208.23011932373046,2621440,33.71794366836548
1,342.1203903198242,2.9999999999999997e-05,311.5346405029297,5242880,33.71794366836548
2,120.19999589920045,4.4999999999999996e-05,103.42461547851562,7864320,33.71794366836548
3,74.81945877075195,5.9999999999999995e-05,44.811273193359376,10485760,33.71794366836548
4,58.29419803619385,7.5e-05,29.113673210144043,13107200,33.71794366836548
5,50.08623452186585,8.999999999999999e-05,23.725448036193846,15728640,33.71794366836548
6,44.91830439567566,0.00010499999999999999,22.709400939941407,18350080,33.71794366836548
7,41.93181796073914,0.00011999999999999999,33.00173282623291,20971520,33.71794366836548
8,40.21973881721497,0.00013499999999999997,47.15891780853271,23592960,33.71794366836548
9,38.94294435977936,0.00015,46.07998151779175,26214400,33.71794366836548
10,37.3652042388916,0.00016499999999999997,50.28972520828247,28835840,33.71794366836548
11,35.72170763015747,0.00017999999999999998,34.48717164993286,31457280,33.71794366836548
12,34.37299797534943,0.000195,39.87002019882202,34078720,33.71794366836548
13,34.797385573387146,0.00020999999999999998,71.49888076782227,36700160,33.71794366836548
14,33.23421764373779,0.000225,44.09826145172119,39321600,33.71794366836548
15,31.432656812667847,0.00023999999999999998,36.87070999145508,41943040,33.71794366836548
16,31.47983000278473,0.00025499999999999996,54.62055492401123,44564480,33.71794366836548
17,29.043683695793153,0.00026999999999999995,25.37195243835449,47185920,33.71794366836548
18,28.420390701293947,0.000285,41.799613857269286,49807360,33.71794366836548
19,27.01954436302185,0.0003,35.092298316955564,52428800,33.71794366836548
20,25.75846869945526,0.0002999958684784207,30.350105476379394,55050240,33.71794366836548
21,23.68264811038971,0.0002999815870000914,25.7606858253479,57671680,33.71794366836548
22,22.665757918357848,0.00029995710563749577,24.932082748413087,60293120,33.71794366836548
23,20.68071882724762,0.0002999224262405682,19.005989456176756,62914560,33.71794366836548
24,19.682444953918456,0.00029987755142985744,22.46206064224243,65536000,33.71794366836548
25,18.37053861618042,0.00029982248459632877,22.431711959838868,68157440,33.71794366836548
26,17.82581251859665,0.00029975722990110775,33.59846639633179,70778880,33.71794366836548
27,16.794135177135466,0.0002996817922751657,21.709076499938966,73400320,33.71794366836548
28,16.133917534351347,0.0002995961774189472,23.014052963256837,76021760,33.71794366836548
29,15.486458432674407,0.00029950039180193927,26.450655937194824,78643200,33.71794366836548
30,14.312894082069397,0.00029939444266218254,16.03657760620117,81264640,33.71794366836548
31,13.557231950759888,0.00029927833800572426,19.74763078689575,83886080,33.71794366836548
