_step,train/loss,train/lr,train/grad_norm,train/tokens_seen,train/peak_memory_gb
0,698.079606628418,1.4999999999999999e-05,106.92746124267578,2621440,9.278690814971924
1,541.1427315711975,2.9999999999999997e-05,394.47657318115233,5242880,9.278690814971924
2,204.95728158950806,4.4999999999999996e-05,202.35467910766602,7864320,9.278690814971924
3,93.8044503211975,5.9999999999999995e-05,75.60266952514648,10485760,9.278690814971924
4,66.29288457632065,7.5e-05,28.89678020477295,13107200,9.278690814971924
5,53.70228357315064,8.999999999999999e-05,25.919607734680177,15728640,9.278690814971924
6,47.378845846652986,0.00010499999999999999,25.135898303985595,18350080,9.278690814971924
7,43.52365891933441,0.00011999999999999999,29.978964233398436,20971520,9.278690814971924
8,41.2843279004097,0.00013499999999999997,30.997533321380615,23592960,9.278690814971924
9,39.226937955617906,0.00015,44.604110622406004,26214400,9.278690814971924
10,37.61174541115761,0.00016499999999999997,32.393296241760254,28835840,9.278690814971924
11,35.79907789826393,0.00017999999999999998,29.6558876991272,31457280,9.278690814971924
12,34.81815751791,0.000195,40.46568088531494,34078720,9.278690814971924
13,33.03764359354973,0.00020999999999999998,26.065617752075195,36700160,9.278690814971924
14,31.890449088811874,0.000225,30.703735256195067,39321600,9.278690814971924
15,32.95812687277794,0.00023999999999999998,67.10577163696288,41943040,9.278690814971924
16,30.354003208875657,0.00025499999999999996,34.21605844497681,44564480,9.278690814971924
17,28.596816366910936,0.00026999999999999995,33.668603610992434,47185920,9.278690814971924
18,27.003711128234862,0.000285,33.859010219573975,49807360,9.278690814971924
19,26.02222867012024,0.0003,24.783250331878662,52428800,9.278690814971924
20,26.117800199985503,0.0002999958684784207,45.33777799606323,55050240,9.278690814971924
21,24.525817555189132,0.0002999815870000914,36.94517021179199,57671680,9.278690814971924
22,22.899558609724046,0.00029995710563749577,43.775136184692386,60293120,9.278690814971924
23,22.654247438907625,0.0002999224262405682,40.31297597885132,62914560,9.278690814971924
24,20.985051655769347,0.00029987755142985744,27.646694374084472,65536000,9.278690814971924
25,20.215632134675978,0.00029982248459632877,36.60126895904541,68157440,9.278690814971924
26,18.83402860760689,0.00029975722990110775,24.15770206451416,70778880,9.278690814971924
27,18.294644114375114,0.0002996817922751657,34.840919494628906,73400320,9.278690814971924
28,16.907167655229568,0.0002995961774189472,21.73492784500122,76021760,9.278690814971924
29,15.497830376029015,0.00029950039180193927,20.452136516571045,78643200,9.278690814971924
30,14.612639385461808,0.00029939444266218254,23.208222103118896,81264640,9.278690814971924
31,14.060076969861985,0.00029927833800572426,19.337103271484374,83886080,9.278690814971924
32,13.15396086871624,0.0002991520866060133,17.395824909210205,86507520,9.278690814971924
33,12.576630628108978,0.00029901569800323726,20.26159954071045,89128960,9.278690814971924
34,12.221646001935005,0.0002988691825036017,27.52143268585205,91750400,9.278690814971924
35,11.815403521060944,0.00029871255117855085,20.137016582489014,94371840,9.278690814971924
36,11.061856272816659,0.00029854581586393175,21.90804281234741,96993280,9.278690814971924
37,10.60432904958725,0.0002983689891590991,17.961248302459715,99614720,9.278690814971924
38,9.962374892830848,0.00029818208442596375,14.905764770507812,102236160,9.278690814971924
39,9.613849017024041,0.00029798511578798273,18.275473260879515,104857600,9.278690814971924
40,9.223528942465782,0.00029777809812909215,15.491602516174316,107479040,9.278690814971924
41,9.067297121882438,0.00029756104709258234,46.333938407897946,110100480,9.278690814971924
42,8.641083112359047,0.00029733397907991593,14.773952913284301,112721920,9.278690814971924
43,8.527316692471505,0.00029709691124948836,16.91476426124573,115343360,9.278690814971924
44,8.17496582120657,0.0002968498615153314,10.784746551513672,117964800,9.278690814971924
45,8.002095806598664,0.0002965928485457594,14.406963205337524,120586240,9.278690814971924
46,7.832584491372108,0.00029632589176195866,13.27624454498291,123207680,9.278690814971924
47,7.666760364174843,0.0002960490113365197,11.117690372467042,125829120,9.278690814971924
48,7.857641060650349,0.0002957622281919133,10.873144292831421,128450560,9.278690814971924
49,7.2815755844116214,0.0002954655639989091,11.329853105545045,131072000,9.278690814971924
50,7.226145860552788,0.0002951590411749384,13.044207668304443,133693440,9.278690814971924
51,7.171176777780056,0.00029484268288239963,14.519472885131837,136314880,9.278690814971924
52,7.006389933824539,0.00029451651302690875,13.624590110778808,138936320,9.278690814971924
53,6.8061631098389626,0.0002941805562554926,8.821629619598388,141557760,9.278690814971924
54,6.805663362145424,0.00029383483795472604,8.917135667800903,144179200,9.278690814971924
55,6.785526819527149,0.00029347938424881416,10.051497745513917,146800640,9.278690814971924
56,6.722110073268413,0.00029311422199761796,11.923396253585816,149422080,9.278690814971924
57,6.8536113306879995,0.00029273937879462477,101.12842378616332,152043520,9.278690814971924
58,6.729516299068928,0.0002923548829648629,12.1293438911438,154664960,9.278690814971924
59,6.60250681489706,0.00029196076356276154,9.04767804145813,157286400,9.278690814971924
60,6.531999665498733,0.00029155705036995535,12.453581953048706,159907840,9.278690814971924
61,6.4456948935985565,0.0002911437738930336,10.406107521057129,162529280,9.278690814971924
62,6.386140474677086,0.00029072096536123513,11.524229812622071,165150720,9.278690814971924
63,6.404235270619393,0.0002902886567240888,11.849522352218628,167772160,9.278690814971924
64,6.505005694925785,0.0002898468806489988,16.090494441986085,170393600,9.278690814971924
65,6.5470558747649195,0.0002893956705187763,13.603845167160035,173015040,9.278690814971924
66,6.431735070049763,0.0002889350604291171,12.037063026428223,175636480,9.278690814971924
67,6.611645111441613,0.00028846508518602464,18.306175994873048,178257920,9.278690814971924
68,6.347522005438805,0.0002879857803031805,10.507874822616577,180879360,9.278690814971924
69,6.271273797750473,0.00028749718199926045,11.391032648086547,183500800,9.278690814971924
70,6.228864677250385,0.0002869993271951976,10.48110990524292,186122240,9.278690814971924
71,6.199289944767952,0.0002864922535113927,10.664896249771118,188743680,9.278690814971924
72,6.196955306828022,0.000285975999264871,11.50107192993164,191365120,9.278690814971924
73,6.070405711233616,0.00028545060346638713,8.90803565979004,193986560,9.278690814971924
74,6.094349175691605,0.00028491610581747704,9.740891361236573,196608000,9.278690814971924
75,6.063388773798943,0.0002843725467074583,8.723887157440185,199229440,9.278690814971924
76,6.149978293478489,0.0002838199672103775,10.023032808303833,201850880,9.278690814971924
77,6.095710663497448,0.000283258409081907,10.470097875595092,204472320,9.278690814971924
78,6.062046222388744,0.0002826879147561895,9.960724258422852,207093760,9.278690814971924
79,6.025101579725742,0.0002821085273426314,7.3715251922607425,209715200,9.278690814971924
80,5.98884849846363,0.00028152029062264547,8.678585577011109,212336640,9.278690814971924
81,5.994866578280925,0.0002809232490463421,11.324174976348877,214958080,9.278690814971924
82,5.906414648890495,0.00028031744772917105,8.419345474243164,217579520,9.278690814971924
83,5.902294608950615,0.0002797029324485116,8.943215942382812,220200960,9.278690814971924
84,5.992807008326054,0.0002790797496402139,13.64232292175293,222822400,9.278690814971924
85,5.889896304905415,0.00027844794639508987,10.504579830169678,225443840,9.278690814971924
86,5.881918257474899,0.0002778075704553547,7.295957541465759,228065280,9.278690814971924
87,5.887829154729843,0.0002771586702110194,7.3614359378814695,230686720,9.278690814971924
88,5.943032321333885,0.00027650129469623396,12.095123243331908,233308160,9.278690814971924
89,5.88317973613739,0.00027583549358558234,9.323121356964112,235929600,9.278690814971924
90,5.956208094954491,0.0002751613171903286,10.108075666427613,238551040,9.278690814971924
91,5.838159815967083,0.0002744788164546153,9.072652578353882,241172480,9.278690814971924
92,5.794301168620587,0.0002737880429516138,7.988113260269165,243793920,9.278690814971924
93,5.7738103568553925,0.00027308904887962714,7.607650566101074,246415360,9.278690814971924
94,5.700581906735897,0.0002723818870581457,6.864097023010254,249036800,9.278690814971924
95,5.674478957057,0.00027166661092385593,7.682811641693116,251658240,9.278690814971924
